Brand Name,Generic Name,Drug Uses**,,
Desipramine HCl,Desipramine HCl,"This medication is used to treat depression. Desipramine belongs to a class of drugs known as tricyclic antidepressants. It works by helping to restore the balance of certain natural substances in the brain. This drug is not recommended for use in children younger than 18 years due to risk of serious side effects. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Desloratadine,Desloratadine,"Desloratadine is an antihistamine used to relieve allergy symptoms such as watery eyes, runny nose, itching eyes/nose, sneezing, hives, and itching. It works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Desmopressin Acetate,Desmopressin (Nonrefrigerated),"Desmopressin is used to control the amount of urine your kidneys make. Normally, the amount of urine you make is controlled by a certain substance in the body called vasopressin. In people who have ""water diabetes"" (diabetes insipidus) or certain kinds of head injury or brain surgery, the body does not make enough vasopressin. Desmopressin is a man-made form of vasopressin and is used to replace a low level of vasopressin. This medication helps to control increased thirst and too much urination due to these conditions, and helps prevent dehydration. Desmopressin products applied in the nose are no longer indicated to control nighttime bedwetting in children because of the increased risk of developing a serious side effect (a low level of sodium in the blood). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Desmopressin Acetate*,Desmopressin Acetate,"Desmopressin is used to control the amount of urine your kidneys make. Normally, the amount of urine you make is controlled by a certain substance in the body called vasopressin. In people who have ""water diabetes"" (diabetes insipidus) or certain kinds of head injury or brain surgery, the body does not make enough vasopressin. Desmopressin is a man-made form of vasopressin and is used to replace a low level of vasopressin. This medication helps to control increased thirst and too much urination due to these conditions, and helps prevent dehydration. Desmopressin is also used to control nighttime bedwetting in children. It reduces how often your child urinates and decreases the number of bedwetting episodes. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Desogestr-Eth Estrad Eth Estra,Desog-E.Estradiol/E.Estradiol,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin (desogestrel) and an estrogen (ethinyl estradiol). Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Desonide,Desonide,"This medication is used to treat a variety of skin conditions (such as eczema, dermatitis, allergies, rash). Desonide reduces the swelling, itching and redness that can occur in these types of conditions. Desonide is a mild corticosteroid. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Desoximetasone,Desoximetasone,"This medication is used to treat a variety of skin conditions (such as eczema, dermatitis, allergies, rash). Desoximetasone reduces the swelling, itching and redness that can occur in these types of conditions. This medication is a strong corticosteroid. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Desvenlafaxine ER,Desvenlafaxine,"This medication is used to treat depression. Desvenlafaxine belongs to a class of drugs known as serotonin-norepinephrine reuptake inhibitors (SNRIs). It works by helping to restore the balance of certain natural substances (serotonin and norepinephrine) in the brain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Desvenlafaxine Succinate ER,Desvenlafaxine Succinate,"This medication is used to treat depression. Desvenlafaxine belongs to a class of drugs known as serotonin-norepinephrine reuptake inhibitors (SNRIs). It works by helping to restore the balance of certain natural substances (serotonin and norepinephrine) in the brain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Detrol,Tolterodine Tartrate,"This medication is used to treat an overactive bladder. By relaxing the muscles in the bladder, tolterodine improves your ability to control your urination. It helps to reduce leaking of urine, feelings of needing to urinate right away, and frequent trips to the bathroom. This medication belongs to the class of drugs known as antispasmodics. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Detrol La,Tolterodine Tartrate,"This medication is used to treat an overactive bladder. By relaxing the muscles in the bladder, tolterodine improves your ability to control your urination. It helps to reduce leaking of urine, feelings of needing to urinate right away, and frequent trips to the bathroom. This medication belongs to the class of drugs known as antispasmodics. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dexamethasone,Dexamethasone,"Dexamethasone is used to treat conditions such as arthritis, blood/hormone disorders, allergic reactions, skin diseases, eye problems, breathing problems, bowel disorders, cancer, and immune system disorders. It is also used as a test for an adrenal gland disorder (Cushing's syndrome). Dexamethasone belongs to a class of drugs known as corticosteroids. It decreases your immune system's response to various diseases to reduce symptoms such as swelling and allergic-type reactions. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dexamethasone Intensol,Dexamethasone,"Dexamethasone is used to treat conditions such as arthritis, blood/hormone disorders, allergic reactions, skin diseases, eye problems, breathing problems, bowel disorders, cancer, and immune system disorders. It is also used as a test for an adrenal gland disorder (Cushing's syndrome). Dexamethasone belongs to a class of drugs known as corticosteroids. It decreases your immune system's response to various diseases to reduce symptoms such as swelling and allergic-type reactions. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosp/PF,"Dexamethasone is used to treat conditions such as arthritis, blood/hormone disorders, allergic reactions, skin diseases, eye problems, breathing problems, bowel disorders, cancer, and immune system disorders. It is also used as a test for an adrenal gland disorder (Cushing's syndrome). Dexamethasone belongs to a class of drugs known as corticosteroids. It decreases your immune system's response to various diseases to reduce symptoms such as swelling and allergic-type reactions. This injectable form of dexamethasone is used when a similar drug cannot be taken by mouth or when a very fast response is needed, especially in patients with severe medical conditions. Talk to your doctor about the risks and benefits of dexamethasone, especially if it is to be injected near your spine (epidural). Rare but serious side effects may occur with epidural use. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dexamethasone Sodium Phosphate*,Dexamethasone Sodium Phosphate,"This medication is used to treat certain eye conditions due to inflammation or injury. Dexamethasone works by relieving symptoms such as swelling, redness, and itching. It belongs to a class of drugs known as corticosteroids. This medication may also be used to treat swelling, redness, and itching of the outer ear due to inflammatory conditions. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dexedrine,Dextroamphetamine Sulfate,"This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Dextroamphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills. This drug is also used to treat a certain sleeping disorder (narcolepsy) to help you stay awake during the day. It should not be used to treat tiredness or to hold off sleep in people who do not have a sleep disorder. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dexilant,Dexlansoprazole,"Dexlansoprazole is used to treat certain stomach and esophagus problems (such as acid reflux). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as heartburn, difficulty swallowing, and cough. This medication helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent cancer of the esophagus. Dexlansoprazole belongs to a class of drugs known as proton pump inhibitors (PPIs). Dexlansoprazole is not recommended for use in children younger than 2 years due to an increased risk of serious side effects. Ask the doctor or pharmacist for details. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dexlansoprazole Dr,Dexlansoprazole,"Dexlansoprazole is used to treat certain stomach and esophagus problems (such as acid reflux). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as heartburn, difficulty swallowing, and cough. This medication helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent cancer of the esophagus. Dexlansoprazole belongs to a class of drugs known as proton pump inhibitors (PPIs). Dexlansoprazole is not recommended for use in children younger than 2 years due to an increased risk of serious side effects. Ask the doctor or pharmacist for details. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dexmethylphenidate HCl,Dexmethylphenidate HCl,"This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Dexmethylphenidate belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dexmethylphenidate HCl ER,Dexmethylphenidate HCl,"This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Dexmethylphenidate belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate,"This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Dextroamphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills. This medication is also used to treat a certain sleeping disorder (narcolepsy) to help you stay awake during the day. It should not be used to treat tiredness or to hold off sleep in people who do not have a sleep disorder. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dextroamphetamine Sulfate ER,Dextroamphetamine Sulfate,"This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Dextroamphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills. This drug is also used to treat a certain sleeping disorder (narcolepsy) to help you stay awake during the day. It should not be used to treat tiredness or to hold off sleep in people who do not have a sleep disorder. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dextroamphetamine-Amphet ER,Dextroamphetamine/Amphetamine,"This combination medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Amphetamine/dextroamphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dextroamphetamine-Amphetamine,Dextroamphetamine/Amphetamine,"This combination medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Amphetamine/dextroamphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills. This drug is also used to treat a certain sleeping disorder (narcolepsy) to help you stay awake during the day. It should not be used to treat tiredness or to hold off sleep in people who do not have a sleep disorder. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dextrose 10%-0.45% NaCl,Dextrose 10 % And 0.45 % NaCl,Drug uses not available,,
Dextrose 5%-0.2% NaCl,Dextrose 5 %-0.2 % Sod Chlorid,Drug uses not available,,
Dextrose 5%-0.45% NaCl,Dextrose 5 %-0.45 % Sod Chlord,Drug uses not available,,
Dextrose 5%-0.9% NaCl,Dextrose 5 % And 0.9 % NaCl,Drug uses not available,,
Dextrose In Lactated Ringers,Dextrose 5%-Lactated Ringers,Drug uses not available,,
Dextrose In Water,Dextrose 10 % In Water,Drug uses not available,,
Dextrose In Water,Dextrose 5 % In Water,Drug uses not available,,
Dextrose In Water,Dextrose 50 % In Water,Drug uses not available,,
Dextrose In Water,Dextrose 70 % In Water,Drug uses not available,,
Dhivy,Carbidopa/Levodopa,"This combination medication is used to treat symptoms of Parkinson's disease or Parkinson-like symptoms (such as shakiness, stiffness, difficulty moving). Parkinson's disease is thought to be caused by too little of a naturally occurring substance (dopamine) in the brain. Levodopa changes into dopamine in the brain, helping to control movement. Carbidopa prevents the breakdown of levodopa in the bloodstream so more levodopa can enter the brain. Carbidopa can also reduce some of levodopa's side effects such as nausea and vomiting. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Diacomit,Stiripentol,"Stiripentol is used with other medications to treat a certain inherited seizure disorder (Dravet syndrome). It belongs to a class of drugs known as anticonvulsants. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Diastat Acudial,Diazepam,"This medication is used to treat episodes of increased seizures (such as cluster or breakthrough seizures) in people who are already taking medications to control their seizures. This product is only recommended for short-term treatment of seizure attacks. It is not for ongoing daily use to prevent seizures. Uncontrolled seizures can turn into serious (possibly fatal) seizures that do not stop (status epilepticus). This medication is not recommended for children younger than 6 months of age because of the risk of serious side effects. Diazepam works by calming the brain and nerves. It belongs to a class of drugs known as benzodiazepines. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Diazepam*,Diazepam,"Diazepam is used to treat anxiety, alcohol withdrawal, and seizures. It is also used to relieve muscle spasms and to provide sedation before medical procedures. This medication works by calming the brain and nerves. Diazepam belongs to a class of drugs known as benzodiazepines. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Diazoxide,Diazoxide,"This medication is used to treat very low blood sugar (hypoglycemia). Certain conditions (such as tumor on the pancreas, cancer, leucine sensitivity) can cause the release of too much insulin. Insulin is a natural substance that lowers blood sugar. This drug works by preventing insulin release from the pancreas, helping to return the blood sugar to normal levels. Diazoxide is a thiazide drug, but has no diuretic (""water pill"") effects like other thiazides. Diazoxide should not be used to treat low blood sugar from poor nutrition/diet (functional hypoglycemia). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dichlorphenamide,Dichlorphenamide,"This medication is used to treat a certain inherited condition that causes attacks of muscle weakness or loss of muscle movement that come and go (primary periodic paralysis). Dichlorphenamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It is not known how it works for this condition, but it can decrease the number of attacks of muscle weakness. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Diclegis,Doxylamine Succinate/Vit B6,"This combination medication (doxylamine with pyridoxine) is used to prevent or reduce nausea and vomiting caused by pregnancy. Decreasing nausea and vomiting may improve your health and nutrition during pregnancy. Doxylamine is an antihistamine that is thought to work by affecting certain natural substances (acetylcholine, serotonin) in your body or by acting directly on certain parts of the brain. Pyridoxine is a B vitamin that is important for good health. Most people get enough pyridoxine in their diet, but certain health conditions (such as pregnancy, poor diet, alcoholism) can result in a lack of this vitamin. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Diclofenac Epolamine,Diclofenac Epolamine,"Diclofenac patches are used to relieve pain from various conditions (such as sprained ankle). This medication is known as a nonsteroidal anti-inflammatory drug (NSAID). If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Diclofenac Potassium,Diclofenac Potassium,"See also Warning section. Diclofenac is used to relieve mild to moderate pain and swelling (inflammation) from various conditions such as headache, dental pain, menstrual cramps, and muscle aches. Some brands of this medication may also reduce pain, swelling, and joint stiffness from arthritis. Reducing these symptoms helps you do more of your normal daily activities. Diclofenac is known as a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking your body's production of certain natural substances that cause inflammation. This effect helps to decrease swelling, pain, or fever. If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Diclofenac Sodium ER,Diclofenac Sodium,"See also Warning section. The sustained-action tablet form of diclofenac is used to reduce pain, swelling (inflammation), and joint stiffness from arthritis. Reducing these symptoms helps you do more of your normal daily activities. Diclofenac is known as a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking your body's production of certain natural substances that cause inflammation. This effect helps to decrease swelling, pain, or fever. Ask your doctor about non-drug treatments and/or using other medications to treat your pain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Diclofenac Sodium*,Diclofenac Sodium,"See also Warning section. This medication is used to relieve joint pain from arthritis. Diclofenac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Diclofenac Sodium-Misoprostol,Diclofenac Sodium/Misoprostol,"Diclofenac is used to reduce pain, swelling, and joint stiffness from arthritis. Diclofenac is known as a nonsteroidal anti-inflammatory drug (NSAID). Misoprostol protects the stomach from diclofenac's irritating effects. This combination medication is used to treat arthritis in people at high risk of getting stomach/intestinal ulcers and complications from the ulcers (such as bleeding). If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dicloxacillin Sodium,Dicloxacillin Sodium,"Dicloxacillin is used to treat a wide variety of bacterial infections. It is a penicillin-type antibiotic. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dicyclomine HCl*,Dicyclomine HCl,"Dicyclomine is used to treat a certain type of intestinal problem called irritable bowel syndrome. It helps to reduce the symptoms of stomach and intestinal cramping. This medication works by slowing the natural movements of the gut and by relaxing the muscles in the stomach and intestines. Dicyclomine belongs to a class of drugs known as anticholinergics/antispasmodics. This medication must not be used by children younger than 6 months old because of the risk of serious side effects. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Differin,Adapalene,"This medication is used to treat acne. It may decrease the number and severity of acne pimples and promote quick healing of pimples that do develop. Adapalene belongs to a class of medications called retinoids. It works by affecting the growth of cells and decreasing swelling and inflammation. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Dificid,Fidaxomicin,"This medication is used to treat a severe intestinal condition (C. difficile-associated diarrhea) due to a certain type of bacteria. This condition may rarely occur after taking antibiotics. Symptoms include diarrhea that doesn't stop, stomach/abdominal pain or cramping, and blood/mucus in your stool. Fidaxomicin is known as a macrolide antibiotic. It works by stopping the growth of this bacteria. This antibiotic works in the intestines and is not absorbed by your body. It should only be used to treat this type of intestinal bacterial infection. It will not work for other types of infections, including viral infections (such as common cold, flu). Unnecessary use or misuse of any antibiotic can lead to its decreased effectiveness. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
